"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"1","Achillea millefolium",-10.1981804605524,-23.1992607729986,-0.652333753126508,28.9396281496322,13,4.691666667,16.24166667,11.3139583334,40
"2","Aconitum lycoctonum",-2.53900107863051,-12.9082601166579,9.91099304747111,32.049257361434,6,8.641666667,12.79166667,11.05333333332,25
"3","Acorus calamus",-19.2501406703655,-42.2776738967775,-7.6436245792128,78.8506878727915,6,8.641666667,12.175,10.9090277772083,24
"4","Actaea spicata",3.59090334598427,-0.400065128828903,9.1181585257095,5.94097652167497,4,8.641666667,12.79166667,11.1543650790476,21
"5","Adonis vernalis",-5.99469070394954,-11.057303196709,1.02984914160908,11.5605292372686,6,8.641666667,12.79166667,11.17037037,27
"6","Aegopodium podagraria",-3.8845748929595,-7.93413689107087,-0.749408728155144,3.61205325065924,8,4.691666667,12.175,10.4597222221,30
"7","Agrimonia eupatoria",-1.42229546918389,-3.83762896607361,4.68369165140708,3.13722686349853,3,8.641666667,16.24166667,11.8825,10
"8","Ajuga pyramidalis",-4.57845116152465,-7.42469714631046,-1.52389996441215,5.0287754925693,3,4.691666667,11.91666667,10.1174242418182,11
"9","Alchemilla vulgaris",-6.04988485372358,-12.8143178059148,9.02058365586862,36.0427542193478,4,8.433333333,12.175,10.9659722216667,12
"10","Alchemilla xanthochlora",-8.86156073325741,-15.7300728935309,-1.88785479643105,11.4050980389634,4,8.641666667,11.91666667,10.6205882348824,17
"11","Allium schoenoprasum",-4.11411760426308,-6.23984010141159,-0.888341566211747,2.45041103993611,6,3.583333333,15.78333333,10.4029166661,20
"12","Allium ursinum",-7.14363246387691,-11.3251374074574,-3.07522579003225,4.4405784099325,11,4.833333333,15.50833333,11.0937499997917,48
"13","Allium victorialis",-6.56459151034066,-9.7343386833224,-4.55591726373292,1.68360365341218,6,4.691666667,12.175,9.82569444429167,24
"14","Althaea officinalis",-3.64282966386595,-7.28852971455869,-1.13790909644008,2.4769961769662,9,4.833333333,15.50833333,10.9056306301622,37
"15","Amorpha canescens",-8.56584449979529,-13.5462467027622,-4.52414003527756,4.88214801566942,2,9.583333333,12.79166667,11.36527777775,12
"16","Anemone hepatica",-6.54621180613339,-12.4863364873954,1.66100989939463,13.1213497569577,9,4.833333333,12.79166667,10.8552631576316,38
"17","Anemone hupehensis",15.759049262746,-5.74056686501674,61.2113180819335,272.772509574964,5,9.583333333,12.175,11.1484126977619,21
"18","Anemone nemorosa",-7.25824593351533,-11.7248756869655,-4.15648735894978,4.57525707749556,11,4.691666667,12.79166667,10.5341085270465,43
"19","Anemone sylvestris",-1.88875509952495,-10.9036704264587,21.2599249312209,61.5055825432756,10,4.691666667,12.79166667,10.7867424238636,44
"20","Angelica archangelica",-6.42222887598819,-10.2022993341431,-2.57186604211129,4.74359927815609,5,4.833333333,12.175,9.987222222,15
"21","Antennaria dioica",-7.42387602979475,-9.54729428054372,-5.50194444468005,1.2831851346497,3,4.691666667,11.91666667,9.561805555,12
"22","Anthericum ramosum",8.97819363664691,-16.7803425872398,42.5883216384558,248.265306200002,3,10.375,12.79166667,11.6840277775,12
"23","Anthoxanthum odoratum",-3.96681259969224,-8.93514945504241,4.80728522836996,8.75684021000862,5,10.03333333,16.24166667,11.9267543863158,19
"24","Aquilegia vulgaris",-5.35919680244572,-7.39323671731537,-3.06366292172571,1.23737667018002,12,3.583333333,16.24166667,10.4349999997556,45
"25","Armoracia rusticana",-7.3221380229424,-14.4459640111174,-4.7869497390053,6.53400820466704,5,4.833333333,12.175,10.2638888882381,21
"26","Arnica longifolia",14.3408205137087,-7.19147829155608,42.2852201021298,154.693301997403,3,8.641666667,11.76666667,10.5493589738462,13
"27","Artemisia absinthium",-5.74382849715405,-13.6876311779807,1.05997914486167,17.6831467129061,9,4.833333333,16.24166667,10.9845238092286,35
"28","Arum italicum",-5.13991236851032,-10.2030278934348,2.07601592061388,10.5727306007771,7,9.583333333,15.38333333,11.6902777780417,24
"29","Arum maculatum",-11.6254735795217,-17.674868380237,-4.91520995976945,10.7771770029795,8,9.583333333,12.79166667,11.1486111111,30
"30","Asarum europaeum",-6.6575689365524,-14.0980037358383,-3.50223592674479,5.41372956944808,10,3.583333333,12.43333333,10.2029279273514,37
"31","Asphodelus albus",-8.8006526359107,-11.0135624010645,-4.6287904450688,2.71819757426177,6,4.691666667,15.50833333,10.79166666612,25
"32","Atropa belladonna",-5.80328322878804,-7.7660213961115,-2.99807474641035,1.53856654207708,4,9.583333333,16.24166667,11.6675438591053,19
"33","Aurinia saxatilis",1.61040508417541,-5.80336426206134,4.16295551316682,5.7767818468616,4,9.583333333,16.24166667,11.8562500001875,16
"34","Bergenia purpurascens",-3.45186950486169,-8.25607430408942,9.42563303016398,20.1283787864173,4,4.691666667,12.175,10.0833333326111,18
"35","Bistorta officinalis",2.91557076860412,-6.62700199911854,13.3346688473397,28.401578505535,5,8.641666667,12.79166667,11.0111111104815,27
"36","Brunnera macrophylla",-7.16949092101409,-14.7834183025914,-0.0282282258397659,16.9189504410731,6,4.691666667,12.79166667,10.6201149421724,29
"37","Bunias orientalis",-6.31255119068149,-11.9061668638734,1.84939247839145,11.99722176482,4,8.641666667,12.175,10.6973684206842,19
"38","Buphthalmum salicifolium",-4.81024082866182,-7.62617205030453,6.55549722165814,12.9421932952883,4,4.691666667,12.79166667,10.8731481477778,18
"39","Calla palustris",-5.83171119914351,-19.7342434941399,9.91747028356412,49.4145645171419,6,8.641666667,12.79166667,11.0067901230741,27
"40","Calluna vulgaris",-5.62875828717711,-18.046635028666,1.60158911582295,26.4343681610764,6,3.583333333,15.50833333,10.5066666663,20
"41","Caltha palustris",-8.05230865420327,-21.3636075691744,-1.88985871464567,32.9377175525461,10,4.691666667,12.79166667,10.9570512818718,39
"42","Camassia cusickii",-11.795468044078,-15.5590803864684,-8.68163865351885,2.80811538899376,2,8.641666667,11.475,10.2891666663,10
"43","Campanula rotundifolia",-1.05145320251914,-5.13067420777181,4.12831811502206,6.77188477773809,7,4.691666667,16.24166667,10.5443181811818,22
"44","Cardamine bulbifera",-8.4114408867983,-11.0156882944254,-2.66170901723365,3.58155422607771,4,10.15,16.24166667,12.2320512823077,13
"45","Centranthus ruber",-13.964953139658,-24.4605785685425,-1.26409166149503,50.0740010531151,6,8.641666667,16.24166667,11.7641304344783,23
"46","Chelidonium majus",-2.42465644064528,-5.61564858826388,4.02591344394466,7.47431522171378,7,4.833333333,16.24166667,11.0153645829062,32
"47","Clematis integrifolia",-1.06953778011295,-8.13281663021994,12.0098156533828,32.8309010514373,4,9.583333333,12.79166667,11.1922222222,15
"48","Clematis recta",-3.94823800901063,-7.83400151895062,0.355101190672903,4.37739169782945,10,3.583333333,16.24166667,10.4810975605366,41
"49","Colchicum autumnale",-2.18519643048221,-5.58327402536274,2.1877879480651,4.46954567529006,11,3.583333333,15.50833333,10.299374999475,40
"50","Comarum palustre",-4.6603972312617,-11.5552668259373,3.64876705702057,16.3467752610438,5,8.641666667,12.175,10.81866666652,25
"51","Conium maculatum",-5.46691743823405,-19.6557003303478,7.82040905387646,48.0880140785571,4,8.641666667,12.175,10.8601851851667,18
"52","Convallaria majalis",-5.09743927251971,-8.23427008959808,-3.09776358918002,2.27801645353393,14,3.583333333,12.79166667,10.2069696968909,55
"53","Corydalis solida",-12.3512685617707,-20.5784078134854,-4.58321785872883,17.3989329247276,3,9.583333333,12.175,11.1493589740769,13
"54","Crocus speciosus",16.2344869075525,-9.52209958866588,72.5551897919607,484.099232821485,3,8.641666667,12.175,10.6833333326875,16
"55","Cyclamen coum",0.243640894265861,-14.153353254865,9.11596609263025,34.8988506254141,4,8.641666667,12.175,10.803645833125,16
"56","Dactylis glomerata",-5.05655528891743,-12.423022169064,-2.58101249728382,6.00052856325947,5,4.833333333,12.79166667,10.68083333365,20
"57","Daphne laureola",-7.27362631354407,-11.9100148199614,-0.894154788027122,6.86847115793192,4,9.583333333,15.50833333,12.0764705884118,17
"58","Dianthus superbus",-7.78146899480061,-16.8593951437911,-0.40581089633342,20.8296117995596,6,4.691666667,12.79166667,10.6709999996,25
"59","Dictamnus albus",-6.63109277507715,-9.83225265226424,-3.12113081687337,3.28661247921807,11,4.691666667,12.79166667,10.4670542630233,43
"60","Dryas octopetala",-5.60077810482484,-8.98194318018653,-2.53374605486372,3.06438856876049,9,4.691666667,12.79166667,10.4425675673784,37
"61","Epilobium angustifolium",-3.02260775710808,-5.69116349744167,0.996853322073069,3.28385875767872,6,4.691666667,12.79166667,10.08399999972,25
"62","Eranthis hyemalis",-5.12421714503346,-11.1545046444607,4.44222895976631,15.4482482037981,10,4.833333333,12.79166667,10.911627906814,43
"63","Eryngium campestre",-2.15896938880966,-12.1628756540827,5.36751853592671,17.378760028586,5,9.583333333,12.79166667,11.2333333327273,22
"64","Eupatorium cannabinum",0.840318713628113,-4.86811287904982,4.66513955036877,6.06671481637223,9,8.641666667,16.24166667,11.554166666075,40
"65","Ficaria verna",-8.34925335818877,-15.0040216647728,-3.41375335799612,6.87448633693941,4,4.833333333,12.175,10.512222222,15
"66","Filipendula vulgaris",-6.18728157255072,-8.72849339189583,-3.86605077550499,1.69479461228819,5,3.583333333,11.76666667,8.3850000002,15
"67","Fragaria vesca",-6.92934043200981,-14.7953885974167,-2.0439553612096,12.7773233155655,13,3.583333333,16.24166667,10.42299999978,50
"68","Fuchsia magellanica",-2.19992631453329,-11.6816679047004,8.18568067204658,26.1664362969654,3,9.583333333,11.91666667,11.0572222222,15
"69","Galanthus nivalis",-3.74611164792361,-8.22572582807662,2.9643781450265,11.781215318152,10,4.833333333,16.24166667,10.7989583329063,32
"70","Galega officinalis",-3.3521881698618,-5.95173829220684,-1.58489245307569,1.28772046867545,7,8.641666667,16.24166667,11.3557291663437,32
"71","Galium mollugo",-6.32146358656572,-12.4329751177971,-4.07245011300682,4.11705118871775,3,8.641666667,16.24166667,11.4548611105833,12
"72","Galium odoratum",-4.62548613955602,-7.67967018284668,-1.00732668845376,3.43578417396627,9,3.583333333,16.24166667,10.1626344083548,31
"73","Genista sagittalis",-10.3295794154038,-14.2664336517344,-6.39676353049467,6.95585594013356,4,4.691666667,12.79166667,10.7183333333333,15
"74","Genista tinctoria",-4.56275833708272,-9.70278957669939,0.483583203637747,6.7386747185525,7,8.641666667,12.79166667,11.1544444444333,30
"75","Gentiana cruciata",-1.26549929079752,-10.4403147392038,15.591448277505,46.5805220557647,5,8.641666667,12.175,10.8973684205263,19
"76","Gentiana lutea",-5.44852064262596,-13.0841622684852,-2.61413880547874,6.86112619697485,7,4.691666667,12.79166667,10.4857843139412,17
