Species;Stress tolerator score_percentage
Achillea millefolium;44.4
Aconitum lycoctonum;13.4
Acorus calamus;23.8
Actaea spicata;11.1
Adonis amurensis;24.4
Adonis vernalis;41.5
Aegopodium podagraria;6.7
Agrimonia eupatoria;41.6
Agrimonia pilosa;53.7
Ajuga pyramidalis;34.1
Ajuga reptans;0.9
Alcea rosea;36.2
Alchemilla monticola;53.7
Alchemilla vulgaris;37.5
Alchemilla xanthochlora;38.6
Allium obliquum;0
Allium schoenoprasum;13.6
Allium ursinum;0
Allium victorialis;0.4
Althaea officinalis;43.9
Amorpha canescens;67.3
Anemone hepatica;21.1
Anemone hupehensis;11.4
Anemone nemorosa;11.3
Anemone sylvestris;47.4
Anemone transsilvanica;35.4
Angelica archangelica;5
Antennaria dioica;58.4
Anthericum liliago;29.2
Anthericum ramosum;12.4
Anthoxanthum odoratum;36
Aquilegia chrysantha;31.6
Aquilegia vulgaris;28.2
Arctostaphylos uva-ursi;93
Armoracia rusticana;15.8
Arnica chamissonis;37.1
Arnica longifolia;25.2
Arrhenatherum elatius;34.4
Artemisia absinthium;36.8
Artemisia amygdalina;44.9
Arum italicum;39.1
Arum maculatum;23.2
Asarum canadense;0
Asarum europaeum;1.3
Asphodeline lutea;23.2
Asphodelus albus;39.9
Atropa belladonna;0
Aurinia saxatilis;46.2
Bergenia ciliata;0
Bergenia purpurascens;9.2
Bistorta officinalis;8.9
Bromus erectus;55
Brunnera macrophylla;3.3
Bunias orientalis;3
Buphthalmum salicifolium;41.7
Cakile maritima;40.5
Calla palustris;3.5
Calluna vulgaris;96.5
Caltha palustris;16.9
Camassia cusickii;0
Campanula rotundifolia;44.7
Cardamine bulbifera;14.8
Carex sylvatica;53.6
Centaurea jacea;58.8
Centaurea scabiosa;26.1
Centranthus ruber;2.3
Chelidonium majus;16.4
Circaea lutetiana;0
Clematis integrifolia;13.4
Clematis recta;36.3
Clematis stans;13.1
Colchicum autumnale;0
Comarum palustre;48.5
Conium maculatum;24.4
Convallaria majalis;23.8
Corydalis solida;1.2
Crocus speciosus;45.5
Crocus vernus;0
Cyclamen coum;2.5
Cyclamen hederifolium;28.7
Dactylis glomerata;42.6
Dactylorhiza majalis;0
Daphne laureola;63
Dianthus carthusianorum;64.6
Dianthus plumarius;55.9
Dianthus superbus;42.1
Dictamnus albus;30.6
Digitalis grandiflora;56.2
Digitalis purpurea;3.3
Dipsacus inermis;52.3
Doronicum pardalianches;0
Dryas octopetala;72.3
Epilobium angustifolium;25.9
Epipactis helleborine;27.5
Eranthis hyemalis;3.9
Eryngium campestre;23
Eryngium maritimum;39.7
Eupatorium cannabinum;13.3
Euphorbia esula;50.6
Filipendula vulgaris;44
Fragaria vesca;36.5
Fuchsia magellanica;33.6
Galanthus ikariae;0
Galanthus nivalis;0
Galanthus plicatus;0
Galega officinalis;39.4
Galium mollugo;47.5
Galium odoratum;17.6
Galium palustre;50.5
Gaultheria shallon;63.3
Genista hispanica;65.5
Genista sagittalis;72.8
Genista tinctoria;58.4
Gentiana cruciata;35.7
Gentiana kurroo;49.8
Gentiana lutea;14.7
Geranium nodosum;35.5
Geranium pratense;33.9
Geranium sanguineum;33.1
Geum rivale;28.2
Geum urbanum;10.5
Glechoma hederacea;50.9
Globularia cordifolia;72.2
Glycyrrhiza glabra;31.4
Gratiola officinalis;35.7
Gunnera manicata;32.8
Helianthemum nummularium;69.6
Helichrysum arenarium;40.6
Helleborus niger;34.6
Helleborus orientalis;27.3
Helleborus viridis;7.8
Hemerocallis fulva;17.1
Hibiscus moschatus;28.6
Holcus lanatus;32.7
Homogyne sylvestris;0
Honckenya peploides;0
Humulus lupulus;21.9
Hyacinthoides hispanica;80.5
Hyacinthoides non-scripta;70.8
Hydrocotyle vulgaris;0
Hypericum cerastioides;52
Hypericum olympicum;76.5
Hypericum perforatum;62.3
Iberis sempervirens;41.1
Inula racemosa;44.7
Iris germanica_x;60
Iris pseudacorus;12.1
Jeffersonia dubia;10.3
Lamium album;6
Lamium galeobdolon;31.2
Lathyrus pratensis;55
Lathyrus vernus;15.3
Lavandula angustifolia;51
Leonurus cardiaca;31.6
Leucanthemum vulgare;3.5
Leucojum aestivum;0
Leucojum vernum;0
Linum perenne;58.8
Linum usitatissimum;31.6
Lotus corniculatus;42.4
