species
Achillea millefolium
Aconitum lycoctonum
Acorus calamus
Actaea spicata
Adonis vernalis
Aegopodium podagraria
Agrimonia eupatoria
Ajuga pyramidalis
Alchemilla vulgaris
Alchemilla xanthochlora
Allium schoenoprasum
Allium ursinum
Allium victorialis
Althaea officinalis
Amorpha canescens
Anemone hepatica
Anemone hupehensis
Anemone nemorosa
Anemone sylvestris
Angelica archangelica
Antennaria dioica
Anthericum ramosum
Anthoxanthum odoratum
Aquilegia vulgaris
Armoracia rusticana
Arnica longifolia
Artemisia absinthium
Arum italicum
Arum maculatum
Asarum europaeum
Asphodelus albus
Atropa belladonna
Aurinia saxatilis
Bergenia purpurascens
Bistorta officinalis
Brunnera macrophylla
Bunias orientalis
Buphthalmum salicifolium
Calla palustris
Calluna vulgaris
Caltha palustris
Camassia cusickii
Campanula rotundifolia
Cardamine bulbifera
Centranthus ruber
Chelidonium majus
Clematis integrifolia
Clematis recta
Colchicum autumnale
Comarum palustre
Conium maculatum
Convallaria majalis
Corydalis solida
Crocus speciosus
Cyclamen coum
Dactylis glomerata
Daphne laureola
Dianthus superbus
Dictamnus albus
Dryas octopetala
Epilobium angustifolium
Eranthis hyemalis
Eryngium campestre
Eupatorium cannabinum
Ficaria verna
Filipendula vulgaris
Fragaria vesca
Fuchsia magellanica
Galanthus nivalis
Galega officinalis
Galium mollugo
Galium odoratum
Genista sagittalis
Genista tinctoria
Gentiana cruciata
Gentiana lutea
Geranium sanguineum
Geum rivale
Geum urbanum
Globularia cordifolia
Glycyrrhiza glabra
Gratiola officinalis
Gunnera manicata
Helianthemum nummularium
Helichrysum arenarium
Helleborus niger
Helleborus orientalis
Helleborus viridis
Helosciadium repens
Hemerocallis fulva
Hibiscus moschatus
Humulus lupulus
Hypericum olympicum
Hypericum perforatum
Iberis sempervirens
Iris pseudacorus
Knautia arvensis
Lamium album
Lathyrus vernus
Lavandula angustifolia
Leonurus cardiaca
Leucanthemum vulgare
Leucojum aestivum
Leucojum vernum
Linum perenne
Lotus corniculatus
Lotus maritimus
Lunaria rediviva
Lupinus polyphyllus
Lysichiton americanus
Lysichiton camtschatcensis
Mentha longifolia
Menyanthes trifoliata
Mercurialis perennis
Narcissus pseudonarcissus
Oenothera biennis
Origanum vulgare
Oxalis acetosella
Paeonia delavayi
Paeonia officinalis
Paeonia peregrina
Paris quadrifolia
Petasites hybridus
Phedimus spurius
Phlomis russeliana
Plantago lanceolata
Platycodon grandiflorus
Podophyllum peltatum
Polygonatum multiflorum
Primula acaulis
Primula denticulata
Primula veris
Prunella grandiflora
Prunella vulgaris
Pulsatilla vulgaris
Ranunculus acris
Ranunculus lanuginosus
Rumex acetosa
Salvia nemorosa
Salvia officinalis
Salvia pratensis
Saponaria officinalis
Saxifraga paniculata
Saxifraga rotundifolia
Scabiosa ochroleuca
Scilla siberica
Scopolia carniolica
Securigera varia
Senecio nemorensis
Silene coronaria
Silene dioica
Silene nutans
Silene vulgaris
Silphium integrifolium
Solanum dulcamara
Solidago canadensis
Solidago virgaurea
Stachys officinalis
Tanacetum vulgare
Thalictrum minus
Thymus praecox
Thymus serpyllum
Trifolium pratense
Trillium sessile
Trollius europaeus
Tulipa saxatilis
Tulipa sylvestris
Tussilago farfara
Urtica dioica
Vaccinium myrtillus
Vaccinium oxycoccos
Veratrum album
Veratrum nigrum
Vinca minor
Vincetoxicum hirundinaria
Viola odorata
Viscaria vulgaris
