;Species;Botanic_Garden;Year;LeafUnf;SenOn;LeafUnf_prev;SenOn_prev;GSL
1;Achillea millefolium;Berlin;2024;24;297;NA;NA;273
2;Achillea millefolium;Davos;2023;96;NA;NA;NA;NA
3;Achillea millefolium;Davos;2024;131;263;96;NA;132
4;Achillea millefolium;Frankfurt;2024;123;NA;NA;NA;NA
5;Achillea millefolium;Halle;2019;247;247;NA;NA;NA
6;Achillea millefolium;Halle;2020;7;246;247;247;239
7;Achillea millefolium;Halle;2021;20;236;7;246;216
8;Achillea millefolium;Halle;2022;11;236;20;236;225
9;Achillea millefolium;Halle;2023;6;228;11;236;222
10;Achillea millefolium;Halle;2024;4;249;6;228;245
11;Achillea millefolium;Hamburg;2024;24;241;NA;NA;217
12;Achillea millefolium;Jena;2020;38;NA;NA;NA;NA
13;Achillea millefolium;Jena;2021;34;314;38;NA;280
14;Achillea millefolium;Jena;2022;5;292;34;314;287
15;Achillea millefolium;Jena;2023;4;235;5;292;231
16;Achillea millefolium;Jena;2024;37;318;4;235;281
17;Achillea millefolium;Potsdam;2021;111;342;NA;NA;231
18;Achillea millefolium;Potsdam;2022;41;250;111;342;209
19;Achillea millefolium;Potsdam;2023;4;228;41;250;224
20;Achillea millefolium;Potsdam;2024;3;248;4;228;245
21;Achillea millefolium;Prague;2020;44;232;NA;NA;188
22;Achillea millefolium;Prague;2022;83;NA;44;232;NA
23;Achillea millefolium;Prague;2023;68;NA;83;NA;NA
24;Achillea millefolium;Prague;2024;95;NA;68;NA;NA
25;Achillea millefolium;Rome;2021;14;NA;NA;NA;NA
26;Achillea millefolium;Srinagar;2021;55;237;NA;NA;182
27;Achillea millefolium;Srinagar;2022;46;228;55;237;182
28;Achillea millefolium;Srinagar;2023;59;227;46;228;168
29;Achillea millefolium;Srinagar;2024;1;219;59;227;218
30;Achillea millefolium;Tehran;2023;63;200;NA;NA;137
31;Achillea millefolium;Tehran;2024;69;213;63;200;144
32;Achillea millefolium;Tuebingen;2021;48;314;NA;NA;266
33;Achillea millefolium;Tuebingen;2022;5;314;48;314;309
34;Achillea millefolium;Tuebingen;2023;11;NA;5;314;NA
35;Achillea millefolium;Tuebingen;2024;45;NA;11;NA;NA
36;Achillea millefolium;Vienna;2021;159;288;NA;NA;129
37;Achillea millefolium;Vienna;2022;5;208;159;288;203
38;Achillea millefolium;Vienna;2023;60;NA;5;208;NA
39;Achillea millefolium;Vienna;2024;47;250;60;NA;203
40;Achillea millefolium;Xixon;2022;208;103;NA;NA;NA
41;Achillea millefolium;Xixon;2023;4;200;208;103;196
42;Achillea millefolium;Xixon;2024;10;164;4;200;154
43;Aconitum carmichaeli;Potsdam;2021;125;329;NA;NA;204
44;Aconitum carmichaeli;Potsdam;2022;55;230;125;329;175
45;Aconitum carmichaeli;Potsdam;2023;47;234;55;230;187
46;Aconitum carmichaeli;Potsdam;2024;73;220;47;234;147
47;Aconitum lycoctonum;Halle;2019;79;240;NA;NA;161
48;Aconitum lycoctonum;Halle;2020;72;225;79;240;153
49;Aconitum lycoctonum;Halle;2021;83;244;72;225;161
50;Aconitum lycoctonum;Halle;2022;67;216;83;244;149
51;Aconitum lycoctonum;Halle;2023;69;202;67;216;133
52;Aconitum lycoctonum;Halle;2024;59;197;69;202;138
53;Aconitum lycoctonum;Jena;2021;111;244;NA;NA;133
54;Aconitum lycoctonum;Jena;2022;103;228;111;244;125
55;Aconitum lycoctonum;Jena;2023;88;235;103;228;147
56;Aconitum lycoctonum;Jena;2024;80;248;88;235;168
57;Aconitum lycoctonum;Prague;2020;93;310;NA;NA;217
58;Aconitum lycoctonum;Prague;2022;90;NA;93;310;NA
59;Aconitum lycoctonum;Prague;2023;89;299;90;NA;210
60;Aconitum lycoctonum;Prague;2024;82;NA;89;299;NA
61;Aconitum lycoctonum;Tuebingen;2021;111;253;NA;NA;142
62;Aconitum lycoctonum;Tuebingen;2022;90;279;111;253;189
63;Aconitum lycoctonum;Tuebingen;2023;11;270;90;279;259
64;Aconitum lycoctonum;Tuebingen;2024;88;229;11;270;141
65;Aconitum lycoctonum;Vienna;2019;86;253;NA;NA;167
66;Aconitum lycoctonum;Vienna;2020;78;262;86;253;184
67;Aconitum lycoctonum;Vienna;2021;77;258;78;262;181
68;Aconitum lycoctonum;Vienna;2022;76;258;77;258;182
69;Aconitum lycoctonum;Vienna;2023;75;258;76;258;183
70;Aconitum lycoctonum;Vienna;2024;61;194;75;258;133
71;Acorus calamus;Berlin;2019;86;218;NA;NA;132
72;Acorus calamus;Berlin;2020;85;190;86;218;105
73;Acorus calamus;Berlin;2021;83;216;85;190;133
74;Acorus calamus;Berlin;2022;103;228;83;216;125
75;Acorus calamus;Berlin;2023;284;227;103;228;NA
76;Acorus calamus;Berlin;2024;81;177;284;227;96
77;Acorus calamus;Halle;2019;72;254;NA;NA;182
78;Acorus calamus;Halle;2020;127;253;72;254;126
79;Acorus calamus;Halle;2021;125;244;127;253;119
80;Acorus calamus;Halle;2022;81;294;125;244;213
81;Acorus calamus;Halle;2023;6;188;81;294;182
82;Acorus calamus;Halle;2024;52;281;6;188;229
83;Acorus calamus;Jena;2019;128;282;NA;NA;154
84;Acorus calamus;Jena;2020;134;232;128;282;98
85;Acorus calamus;Jena;2021;131;244;134;232;113
86;Acorus calamus;Jena;2022;109;236;131;244;127
87;Acorus calamus;Jena;2023;109;249;109;236;140
88;Acorus calamus;Jena;2024;101;227;109;249;126
89;Acorus calamus;Leipzig;2023;95;207;NA;NA;112
90;Acorus calamus;Leipzig;2024;80;234;95;207;154
91;Acorus calamus;Potsdam;2021;111;NA;NA;NA;NA
92;Acorus calamus;Potsdam;2022;61;236;111;NA;175
93;Acorus calamus;Potsdam;2023;95;221;61;236;126
94;Acorus calamus;Potsdam;2024;94;227;95;221;133
95;Acorus calamus;Prague;2020;72;267;NA;NA;195
96;Acorus calamus;Prague;2022;97;272;72;267;175
97;Acorus calamus;Prague;2023;89;278;97;272;189
98;Acorus calamus;Prague;2024;74;271;89;278;197
99;Acorus calamus;Trondheim;2021;118;230;NA;NA;112
100;Acorus calamus;Trondheim;2022;90;NA;118;230;NA
101;Acorus calamus;Vienna;2019;122;247;NA;NA;125
102;Actaea kashmiriana;Srinagar;2022;81;207;NA;NA;126
103;Actaea pachypoda;Acadia;2024;129;NA;NA;NA;NA
104;Actaea spicata;Berlin;2019;114;247;NA;NA;133
105;Actaea spicata;Berlin;2020;113;238;114;247;125
106;Actaea spicata;Berlin;2021;98;250;113;238;152
107;Actaea spicata;Berlin;2022;131;236;98;250;105
108;Actaea spicata;Berlin;2023;144;248;131;236;104
109;Actaea spicata;Berlin;2024;135;228;144;248;93
110;Actaea spicata;Jena;2019;80;212;NA;NA;132
111;Actaea spicata;Jena;2020;64;218;80;212;154
112;Actaea spicata;Jena;2021;90;258;64;218;168
113;Actaea spicata;Jena;2022;103;272;90;258;169
114;Actaea spicata;Jena;2023;81;235;103;272;154
115;Actaea spicata;Jena;2024;59;241;81;235;182
116;Actaea spicata;Prague;2020;107;253;NA;NA;146
117;Actaea spicata;Prague;2022;125;244;107;253;119
118;Actaea spicata;Prague;2023;136;249;125;244;113
119;Actaea spicata;Prague;2024;95;264;136;249;169
