"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"1","Achillea millefolium",-3.69369147435614,-11.5164008881742,9.59331643531429,26.1681790056465,13,5.44375,14.6066666666667,11.2634375,36
"2","Aconitum lycoctonum",8.37589947598314,1.09706586264731,16.8947248838983,14.6309410742397,6,8.6625,12.9,11.0391123188406,23
"3","Acorus calamus",-8.43982966968477,-22.0938993674238,2.35586055170539,43.2365838768453,6,9.18,11.95625,10.3981439393939,22
"4","Actaea spicata",3.85182925499396,-0.483234332091372,6.68969767824541,3.29408383808697,4,8.55625,12.6125,10.3985087719298,19
"5","Adonis vernalis",-1.97573005443386,-8.25052663245291,5.77543479224418,11.5642669606604,6,8.10666666666667,11.0666666666667,9.73536858974359,26
"6","Aegopodium podagraria",-2.72027528448373,-6.70864438126076,0.176295605703295,2.60823969855577,7,4.29333333333333,11.95625,10.2886011904762,28
"7","Ajuga pyramidalis",-0.696364396661699,-4.52681564059975,11.5202114030979,27.866204316422,3,3.86875,10.8666666666667,9.51541666666667,10
"8","Alchemilla vulgaris",6.67112277507144,-0.90688366450205,18.2377521749628,23.4218356717587,3,8.72666666666667,11.525,10.2617803030303,11
"9","Alchemilla xanthochlora",-6.14840911543618,-13.7666060568779,1.22085565722154,13.8716410692517,4,7.75625,10.8666666666667,9.65737745098039,17
"10","Allium schoenoprasum",-5.47620157068243,-6.83346493704857,-3.93822936785478,0.557685797540529,5,3.49333333333333,14.61875,9.35245614035088,19
"11","Allium ursinum",-6.49489910603361,-10.0085438266321,-1.99983414099055,3.79484647099401,11,4.63333333333333,14.62,9.8255,45
"12","Allium victorialis",-6.63050348412135,-10.2864338902151,-4.83965888716001,1.56977315378439,6,4.76875,10.975,9.40287878787879,22
"13","Althaea officinalis",-4.01256978795292,-7.24992986622495,-1.20621679868533,1.85960448942094,9,6.00625,15.2,11.3292401960784,34
"14","Amorpha canescens",-8.59633539571124,-14.4872877180797,-1.84219529841528,9.10201999308743,2,10.1733333333333,12.9,11.7260984848485,11
"15","Anemone hepatica",-6.50877031306826,-15.2609705978753,3.14184508190018,18.6527130476237,9,4.52666666666667,10.8266666666667,9.3112962962963,36
"16","Anemone hupehensis",14.9273035718727,8.38414297247174,20.4694463431034,9.39862954431693,5,10.925,13.5133333333333,12.0823842592593,18
"17","Anemone nemorosa",-7.35980641218865,-11.7467269853782,-2.45803961339567,5.1154869649491,10,4.4375,11.0666666666667,9.30473958333333,40
"18","Anemone sylvestris",-5.9079823589113,-11.5125775066898,0.428165147664558,9.586968405416,9,7.56666666666667,11.5466666666667,9.88735416666667,40
"19","Angelica archangelica",-4.63470034608862,-7.44498794306786,-1.6759478930962,2.42822276339481,5,5.75625,11.5866666666667,9.8138782051282,13
"20","Antennaria dioica",-7.96241516114887,-10.641324962131,-5.37619456502,2.13389218282049,3,4.29333333333333,10.76,8.48048611111111,12
"21","Anthericum ramosum",8.42702850433853,-6.22893211792114,20.1046038490577,49.3315018424457,3,10.0266666666667,12.9,11.655303030303,11
"22","Anthoxanthum odoratum",0.885317012352291,-3.98894517730742,8.64496521394734,13.6705357903874,5,8.68125,13.8266666666667,10.551862745098,17
"23","Aquilegia vulgaris",-5.44364502788291,-7.93140159348399,-2.53697353669936,2.38457320686411,12,3.49333333333333,14.5625,9.40225198412698,42
"24","Armoracia rusticana",-9.16341474348875,-17.5325628392778,-5.61044382052349,9.6746699351077,5,5.15,10.975,9.81214583333333,20
"25","Arnica longifolia",22.3260592066827,17.118497074037,29.0629851160417,13.2730786404296,3,9.225,12.9375,10.590303030303,11
"26","Artemisia absinthium",3.23874484065875,-2.39404884265138,18.3231145738841,29.2480364076692,8,6.00625,13.5133333333333,11.6653535353535,33
"27","Arum italicum",-4.15516454054269,-10.0697370544596,0.298837550563552,7.09246188828641,7,9.18,14.6066666666667,10.8926515151515,22
"28","Arum maculatum",-13.332713105553,-21.4546365333826,-6.5013423083733,13.7888568362742,8,8.48,11.5466666666667,10.0499851190476,28
"29","Asarum europaeum",-6.46420963784807,-9.5490559458883,-3.05331954047718,3.5720715161682,10,2.4125,10.98,8.68446759259259,36
"30","Asphodelus albus",-9.25957905837569,-11.3663757681504,-2.97548272233022,4.34161841263192,5,7.75625,14.62,10.3710037878788,22
"31","Atropa belladonna",-4.55230261398817,-8.35389553080459,1.37775414771694,6.89388368622717,4,9.18,13.95,10.8310648148148,18
"32","Aurinia saxatilis",0.771587900019804,-6.20052446288856,4.46943912953218,8.8877694497549,4,8.10666666666667,13.95,10.0141111111111,15
"33","Bergenia purpurascens",-0.97072240317722,-8.05436614042024,11.5305753625265,30.5528655566815,4,4.14375,10.9133333333333,8.95591145833333,16
"34","Bistorta officinalis",4.58330513713819,-3.77065902649192,11.9589906848345,16.335770368008,5,8.48,11.61875,10.1976215277778,24
"35","Brunnera macrophylla",-7.81126611065542,-17.3945736141978,0.61387718997924,20.9441726048255,5,7.19333333333333,10.9133333333333,9.47389423076923,26
"36","Bunias orientalis",-5.67238241120417,-12.8432664564783,4.10991644615807,17.1858338823005,4,8.6625,10.975,9.78134803921569,17
"37","Buphthalmum salicifolium",-0.445935003101942,-7.28557048884732,12.9528911623233,37.8440452767384,4,5.59375,13.375,11.1719117647059,17
"38","Calla palustris",9.02739584630342,-7.62719415733163,20.407747815212,51.2428621878683,6,8.6625,12.36875,10.6494,25
"39","Calluna vulgaris",-0.209997112588833,-2.41837752785965,1.71042773669419,4.42656523093082,5,5.8125,13.4125,10.8626470588235,17
"40","Caltha palustris",-5.38979994647213,-18.1112887782214,1.94318028417052,22.2830344141544,10,3.34375,11.0666666666667,9.51564692982456,38
"41","Camassia cusickii",-12.7411074055946,-17.170019349859,-9.10484679684456,4.35764783521252,2,7.75625,10.2666666666667,9.20833333333333,10
"42","Campanula rotundifolia",0.665315637031179,-3.16444679048637,8.01165149414133,6.85727917909978,6,4.71875,17.16,10.4605753968254,21
"43","Cardamine bulbifera",-8.44620835480495,-11.604621685289,-2.20246734440327,5.73551965113342,4,9.18,13.5933333333333,10.4956597222222,12
"44","Centranthus ruber",-8.56938471191193,-13.2034783489732,0.460412103811156,10.8524887293529,6,8.25333333333333,14.48,10.5883541666667,20
"45","Chelidonium majus",-2.93654993425274,-6.26432385519316,4.00045550359569,7.17616952029058,7,4.10625,13.48125,9.70958333333333,30
"46","Clematis integrifolia",1.54236521160449,-4.35853763524598,8.43832820956044,11.1605920035993,4,9.18,12.1533333333333,10.6066987179487,13
"47","Clematis recta",-4.94412421934964,-7.37646253124236,1.11815292607332,3.86673662498366,8,4.41875,12.3066666666667,10.0069256756757,37
"48","Colchicum autumnale",-2.18446474661121,-4.13117906942989,0.247014309212604,1.22156417176388,10,6.525,16.48125,12.0729385964912,38
"49","Comarum palustre",-0.419995487088228,-5.67625989786793,5.58301869729614,8.22496822217552,5,8.6625,11.64,10.3589130434783,23
"50","Conium maculatum",9.62411552225853,-1.44947659403475,23.4124903915714,39.7065623144498,4,9.66666666666667,12.2666666666667,10.883984375,16
"51","Convallaria majalis",-4.76538176503672,-7.26801635965841,-1.7268299752842,2.10570881053763,14,3.4125,11.5466666666667,9.25447916666667,52
"52","Corydalis solida",-4.18001855285767,-8.60280691764585,-1.17519737361757,3.99318638948544,3,8.35,10.475,9.58666666666667,11
