"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"1","Achillea millefolium",-12.387450001594,-21.6108790777387,2.11972999809907,40.5804138634422,11,8.641666667,15.78333333,11.5520833329643,28
"2","Aconitum lycoctonum",11.3433535735373,-0.60436509241114,20.3329761818247,26.7436711170901,5,8.641666667,12.43333333,10.90624999965,20
"3","Acorus calamus",3.77196883595442,-22.3456311761656,21.793447690459,92.436907552739,8,4.833333333,12.175,10.7041666662857,28
"4","Actaea spicata",-7.49361940428126,-24.844397628074,11.0422152840438,86.2668430780328,4,8.641666667,12.43333333,11.01547619,21
"5","Adonis vernalis",4.27848467759598,-9.04678814236836,14.9612472936535,40.1799282157519,6,8.641666667,12.79166667,11.0993827156667,27
"6","Aegopodium podagraria",15.1290648126848,-5.4147556197264,33.4606046475595,77.6915191357145,8,4.858333333,12.175,10.7774193543871,31
"7","Alchemilla xanthochlora",21.9450398206187,1.54001291536574,46.3528338924796,137.483190236772,4,8.641666667,11.625,10.5395833326875,16
"8","Allium schoenoprasum",-1.62884721597014,-18.8047077448257,19.5863192021297,193.535531308804,3,9.583333333,15.50833333,11.9357142852143,14
"9","Allium ursinum",2.17361942192603,-5.72116107666467,11.7290890910587,20.8586143671008,10,8.641666667,15.50833333,11.2339743587949,39
"10","Allium victorialis",6.65864155988211,-9.99945378699952,13.8334241453302,36.7042583823481,7,4.833333333,12.15833333,10.0387681154783,23
"11","Althaea officinalis",1.48268190206269,-15.0571556583621,12.6669416024893,48.1526945422604,7,8.641666667,15.50833333,11.0650641016538,26
"12","Amorpha canescens",12.6735491515406,2.30930062150227,24.805416533671,35.8335436851686,2,9.583333333,12.79166667,11.2681818184545,11
"13","Anemone hepatica",8.05372292771707,-32.4291157271154,20.0663447849073,172.080214258107,8,4.833333333,12.79166667,10.7894736843684,19
"14","Anemone hupehensis",44.3469422324385,5.64638413771442,79.5594702131847,330.890874570615,4,10.375,11.91666667,11.2537878781818,11
"15","Anemone nemorosa",5.0799897953781,-5.6715441195553,12.790933080526,17.8828084999409,11,4.691666667,12.79166667,10.6740740738889,36
"16","Anemone sylvestris",5.96192516986,-30.4156500857499,35.4530956183241,265.19755038029,9,4.691666667,12.79166667,10.9223684207895,38
"17","Angelica archangelica",13.8956629332085,5.74967188893366,23.265408783488,19.8536833551418,4,4.833333333,12.175,10.0372549017647,17
"18","Anthoxanthum odoratum",8.71689504314954,-27.1559444810473,51.439544585861,378.469280329836,4,10.03333333,12.79166667,11.4460784317647,17
"19","Aquilegia vulgaris",-0.308338933655743,-7.31960306049831,6.51087881569865,14.6515831761632,11,3.583333333,15.78333333,10.2931623927949,39
"20","Arctostaphylos uva-ursi",7.99578968647464,-2.2911995467158,25.8141203860344,56.4514207009548,4,4.691666667,11.75,9.64621212118182,11
"21","Armoracia rusticana",-1.15347670510454,-19.1652237603692,9.03407935606911,44.8858740096371,6,4.833333333,12.175,10.6249999994615,26
"22","Artemisia absinthium",7.13954039688713,-5.09393783092007,35.638543967745,131.044183794215,9,4.833333333,15.78333333,10.9313131307879,33
"23","Arum italicum",-0.538643419588563,-12.2072323573909,20.7976396458751,63.8358862863014,6,8.641666667,12.79166667,11.1616071426071,28
"24","Arum maculatum",-14.5830568455078,-32.9199140178457,-2.79567198883191,52.2581425214506,8,9.583333333,12.79166667,11.3468390804483,29
"25","Asarum europaeum",17.8688209501222,-7.30488871345023,33.3527847038023,98.377570560871,8,4.691666667,12.79166667,10.56031746,21
"26","Asphodelus albus",2.35549803097451,-1.64431926421967,7.22826630168761,5.26310946008272,6,4.691666667,15.50833333,11.0887681152174,23
"27","Atropa belladonna",-12.8636829931511,-21.9391955641942,14.7423031120516,86.493707505608,4,9.583333333,16.24166667,11.7441176466471,17
"28","Aurinia saxatilis",-14.0031618487684,-38.8112736512554,1.81921862695417,114.144712996906,3,9.583333333,12.79166667,11.29027777775,12
"29","Bistorta officinalis",-0.902751539695337,-27.4067667691059,24.6789641427591,176.097249817653,5,8.641666667,12.79166667,11.0615384612692,26
"30","Brunnera macrophylla",2.33825087812196,-25.0325162178198,29.394678325137,219.22762018113,5,9.583333333,12.79166667,11.134782608087,23
"31","Bunias orientalis",-12.2531609042044,-43.7337993666885,10.7782173738653,173.421461276652,3,8.641666667,11.65833333,10.4785714280714,14
"32","Buphthalmum salicifolium",16.9270831899729,2.55305318184225,48.7077544377411,237.798857832558,4,4.691666667,12.79166667,11.2802083329375,16
"33","Calla palustris",23.6330228181299,2.64605871778296,46.1055294586214,131.497839105726,7,9.583333333,12.79166667,11.2025641021538,26
"34","Caltha palustris",11.7121007647705,-9.53996896975285,35.7179541444992,109.888401028554,9,4.691666667,12.79166667,10.9478494623548,31
"35","Camassia cusickii",0.693037438005391,-9.75316248389985,11.0496073649806,30.4494110374585,2,8.641666667,10.88333333,10.2116666663,10
"36","Campanula rotundifolia",16.1376743973156,7.38489629055454,41.0179993849376,74.8916786616311,4,4.691666667,12.175,10.0754385959474,19
"37","Cardamine bulbifera",-6.7301286228482,-9.17835781810767,-2.53393209380088,2.77667815112502,4,10.15,16.24166667,12.2993589746154,13
